tweet,label
@AmericanAir thank you for quick responses.   #aa usually has fantastic customer service. That's why I was so shocked when it wasn't there,1
@AmericanAir I wait 2+ hrs for CS to call me back re why  flt is cxld/protection &amp; they hang up the minute I answer on 1st ring?,0
@AmericanAir I can't even get on the phone with your reservations team. The system automatically disconnects us.,0
"@AmericanAir Hmm. Looks like you looked at my tweet from last month, not this one. Was able to get U.K. agent to help me, thanks.",1
@americanair @bershawnjackson big UPS to Newark airport staff &amp;&amp; D.Dean. I was also treated lovely while I was in town. ❤❤,1
@AmericanAir thanks to FA Shawn for spectacular service on FLT 79 LHRDFW and to FA Susan for such a warm engaging onboard welcome,1
@AmericanAir you Cancelled Flightled my wife's flight and she has to call but your service won't even let us. Going on 7 hours now.,0
@AmericanAir Shout-out to all the ground crews working in the cold! Thanks for what y'all do. (&amp; social media team for customer service),1
@AmericanAir they don't even give an option to hold.. Just say lines are busy Plz try Late Flightr,0
"@AmericanAir Yes, thanks for checking. Very cramped, but got on &amp; made it safely. Flying back tomorrow at 1pm. http://t.co/CSddCCMvbD",1
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,0
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),1
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,0
@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,1
"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",0
@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,0
@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,1
@VirginAmerica I love the dancing little richard. cool beans.,1
@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.,0
"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy.",1
@united not able to DM you my confirmation number,0
@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???,0
@united 32 people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing,0
@united Big thanks to Ms. Winston for assisting me over the phone with a baggage claim issue today. She really went the extra mile!,1
@united Nope - still no one helped me.  Giving up on united. #badservice,0
@united Great! I'm ready to go home.,1
@united already done that. the answer i got was... oops we can give you miles and we're very sorry. but who pays for my discomfort for 9 h?,0
"@united been solved,  they finally picked up the second time I called,  thanks for the response JH!  7:21 to dulles works!",1
@united flew from sdf to ATL to Tampa on Delta. Left early. Arrived early. Crew helpful. Wifi worked!!,1
@united Was able to send the DM. All good now.,1
@united you have now lost my bag. Never ever flying United again #joke,0
@united I wanna be ride United airline! I love airplane,1
@united the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.,1
@united it was me who had the problem won flight ua 1580. I called and rebooked myself found my own hotel and taxi,0
@united we still need help. Hung up on twice. Customer service rep said there is no way to help between the gate rep and phone rep.,0
@united Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting.  Now day Late Flight. No apology or upgrade offer to LHR from ORD???,0
@united Resolved. Over hour of work on  ground &amp; somehow the system reset itself during takeoff. I appreciate the quick response/service.,1
@united went to Customer Service kiosk and they were able to help out! Still thanks for following up!,1
"@united any way you can help me find a flight to LAS? Stuck in DIA, sat on plane 2 hrs, now been waiting an hour for an update.",0
"@united delayed because of salt on the floor from previous passengers? The 180 of just just want to fly, don't care about our shoes. Ua649",0
@SouthwestAir @AmericanAir y'all are better then @united,1
@SouthwestAir been on hold for an hour. I need to rebook my flight that was Cancelled Flighted! #help,0
@southwestair please help us check in... i never expected you to make travel painful... just like the rest all of a sudden...#intlcheckin#,0
@SouthwestAir don't you think a 4hr wait time to speak to an actual agent is ridiculous?! My flight was Cancelled Flightled this morning! #Getyourlife,0
@SouthwestAir thanks so much just had to make a Cancelled Flightlation! I've sent u the info.,1
@SouthwestAir is the best. Case and point. https://t.co/ucVnilMb4x @ryand2285 #HappyBirthday,1
"@SouthwestAir VERY frustrated. Saw seats avail. online for pref alt. flight, unable to book online, lost those seats during &gt;2 hr phone hold",0
@SouthwestAir had an amazing experience with your staff at DIA last night. I was blown away by their hospitality with my wife on crutches,1
@SouthwestAir had a great LA flight with Clarence and Frank! Those 2 guys are a hoot! 😜😂 thanks,1
"@SouthwestAir - stuck on the runway, again. Delayed on Wednesday. Not a good way to take care of your loyal customers.",0
